date,patch,patch_size,treatment,transect/patch/seagrass,time_start,time_end,survey time_min,transect_length,species,total_length_cm,total_number,percent_on_patch
2019-06-17,Angel2,,ft,transect,13:45,13:50,5,4,bluestriped grunt,6,6,5
2019-06-17,Angel2,,ft,transect,13:45,13:50,5,4,cottonwick,4,1,5
2019-06-17,Angel2,,ft,transect,13:45,13:50,5,4,white grunt,4,1,5
2019-06-21,Cooda,,dd,transect,14:00,14:04,4,4,french grunt,10,40,4
2019-06-21,Cooda,,dd,transect,14:00,14:04,4,4,french grunt,11,48,4
2019-06-21,Cooda,,dd,transect,14:00,14:04,4,4,french grunt,12,34,4
2019-06-21,Cooda,,dd,patch rove,14:05,14:15,10,NA,white grunt,17,2,10
2019-06-21,Cooda,,dd,patch rove,14:05,14:15,10,NA,french grunt,3,1000,10
2019-06-21,57,,dd,patch rove,16:05,16:15,10,NA,NA,0,0,0
2019-06-21,Cow,,dd,transect 1,14:45,14:49,4,4,french grunt,3,100,4
2019-06-24,Calgary,,ft,transect,14:45,14:49,4,4,french grunt,16,12,
2019-06-24,Calgary,,ft,transect,14:45,14:49,4,4,french grunt,18,8,
2019-06-24,Calgary,,ft,transect,14:45,14:49,4,4,french grunt,15,16,
2019-06-24,Calgary,,ft,transect,14:45,14:49,4,4,bluestriped grunt,25,1,
2019-06-24,Calgary,,ft,transect,14:45,14:49,4,4,bluestriped grunt,18,1,
2019-06-24,Calgary,,ft,transect,14:45,14:49,4,4,cottonwick,17,1,
2019-06-24,Calgary,,ft,patch rove,14:50,15:00,10,NA,french grunt,1,15,
2019-06-24,Calgary,,ft,patch rove,14:50,15:00,10,NA,french grunt,2,10,
2019-06-24,Lakeisha,,ft,transect,15:25,15:29,3.5,3.5,french grunt,16,5,50% on patch
2019-06-24,Lakeisha,,ft,transect,15:25,15:29,3.5,3.5,french grunt,17,5,50% on patch
2019-06-24,Lakeisha,,ft,transect,15:25,15:29,3.5,3.5,french grunt,18,10,50% on patch
2019-06-24,Lakeisha,,ft,transect,15:25,15:29,3.5,3.5,bluestriped grunt,14,1,
2019-06-24,Lakeisha,,ft,seagrass rove,15:40,15:45,5,NA,cottonwick,15,10,100% seagrass
2019-06-24,Lakeisha,,ft,seagrass rove,15:40,15:45,5,NA,cottonwick,17,5,100% seagrass
2019-06-24,Lakeisha,,ft,seagrass rove,15:40,15:45,5,NA,cottonwick,19,5,100% seagrass
2019-06-26,94Urchin,,dd,transect 1,9:42,9:49,7,7,bluestriped grunt,10,3,
2019-06-26,94Urchin,,dd,transect 1,9:42,9:49,7,7,french grunt,17,1,
2019-06-26,94Urchin,,dd,transect 1,9:42,9:49,7,7,french grunt,11,75,
2019-06-26,94Urchin,,dd,transect 1,9:42,9:49,7,7,french grunt,13,150,
2019-06-26,94Urchin,,dd,transect 1,9:42,9:49,7,7,french grunt,12,150,
2019-06-26,94Urchin,,dd,transect 1,9:42,9:49,7,7,french grunt,10,200,
2019-06-26,94Urchin,,dd,transect 1,9:42,9:49,7,7,french grunt,8,50,
2019-06-26,94Urchin,,dd,transect 2,9:42,9:49,7,7,french grunt,11,70,
2019-06-26,94Urchin,,dd,transect 2,9:42,9:49,7,7,french grunt,13,150,
2019-06-26,94Urchin,,dd,transect 2,9:42,9:49,7,7,french grunt,12,150,
2019-06-26,94Urchin,,dd,transect 2,9:42,9:49,7,7,french grunt,10,300,
2019-06-26,94Urchin,,dd,transect 2,9:42,9:49,7,7,french grunt,8,50,
2019-06-26,94Urchin,,dd,transect 2,9:42,9:49,7,7,bluestriped grunt,10,2,
2019-06-26,94Urchin,,dd,transect 3,9:50,9:57,7,7,french grunt,11,70,
2019-06-26,94Urchin,,dd,transect 3,9:50,9:57,7,7,french grunt,13,150,
2019-06-26,94Urchin,,dd,transect 3,9:50,9:57,7,7,french grunt,12,150,
2019-06-26,94Urchin,,dd,transect 3,9:50,9:57,7,7,french grunt,10,300,
2019-06-26,94Urchin,,dd,transect 3,9:50,9:57,7,7,french grunt,8,100,
2019-06-26,94Urchin,,dd,transect 3,9:50,9:57,7,7,bluestriped grunt,14,3,
2019-06-25,IMC,,ft,transect,15:50,15:58,8,8,french grunts,4,1000,1000
2019-06-25,IMC,,ft,transect,15:50,15:58,8,8,french grunts,7,300,300
2019-06-25,IMC,,ft,transect,15:50,15:58,8,8,cottonwick,18,10,
2019-06-25,IMC,,ft,transect,15:50,15:58,8,8,cottonwick,16,2,
2019-06-25,IMC,,ft,patch rove,15:58,16:08,10,NA,french grunt,16,1,
2019-06-25,NF15,,dd,transect,14:08,14:12,4,4,french grunt,19,1,
2019-06-25,NF15,,dd,transect,14:08,14:12,4,4,french grunt,3,1,
2019-06-25,NF15,,dd,transect,14:08,14:12,4,4,french grunt,2,2,
2019-06-25,NF15,,dd,transect,14:08,14:12,4,4,french grunt,1,1,
2019-06-25,NF15,,dd,patch rove,14:13,14:23,10,NA,french grunt,2,100,
2019-06-25,NF15,,dd,patch rove,14:13,14:23,10,NA,french grunt,1,100,
2019-06-25,94North,,ft,transect 1,14:50,14:57,7,7,french grunt,2,15,
2019-06-25,94North,,ft,transect 1,14:50,14:57,7,7,french grunt,3,12,
2019-06-25,94North,,ft,transect 1,14:50,14:57,7,7,french grunt,2,30,
2019-06-25,94North,,ft,transect 2,14:50,14:57,7,7,french grunt,2,20,
2019-06-25,94North,,ft,transect 2,14:50,14:57,7,7,french grunt,3,10,
2019-06-25,94North,,ft,transect 2,14:50,14:57,7,7,french grunt,2,20,
2019-06-25,94North,,ft,patch rove 1,14:58,15:13,15,NA,cottonwick,18,1,
2019-06-25,94North,,ft,patch rove 2,14:58,15:13,15,NA,cottonwick,17,3,
2019-06-27,90Stop,,dd,transect 1,11:03,11:12,9,9,cottonwick,17,4,100
2019-06-27,90Stop,,dd,transect 1,11:03,11:12,9,9,french grunt,20,1,100
2019-06-27,90Stop,,dd,transect 1,11:03,11:12,9,9,french grunt,18,2,100
2019-06-27,90Stop,,dd,transect 1,11:03,11:12,9,9,bluestriped grunt,16,4,100
2019-06-27,90Stop,,dd,transect 2,11:03,11:13,9.5,9.5,white grunt,15,3,70
2019-06-27,90Stop,,dd,transect 2,11:03,11:13,9.5,9.5,white grunt,12,6,70
2019-06-27,90Stop,,dd,transect 2,11:03,11:13,9.5,9.5,white grunt,9,3,70
2019-06-27,90Stop,,dd,transect 2,11:03,11:13,9.5,9.5,bluestriped grunt,15,4,80
2019-06-27,90Stop,,dd,transect 3,11:03,11:12,9,9,bluestriped grunt,18,8,100
2019-06-27,90Stop,,dd,transect 3,11:03,11:12,9,9,white grunt,20,4,100
2019-06-27,90Stop,,dd,transect 3,11:03,11:12,9,9,cottonwick,18,3,100
2019-06-27,90Stop,,dd,patch rove 1,11:13,11:33,20,NA,white grunt,16,2,100
2019-06-27,90Stop,,dd,patch rove 2,11:13,11:33,20,NA,white grunt,12,10,70
2019-06-27,90Stop,,dd,patch rove 2,11:13,11:33,20,NA,white grunt,16,5,70
2019-06-27,90Stop,,dd,patch rove 2,11:13,11:33,20,NA,bluestriped grunt,14,4,80
2019-06-27,90Stop,,dd,patch rove 2,11:13,11:33,20,NA,cottonwick,16,5,70
2019-06-27,NF17,,ft,transect 2,9:50,9:57,7,7,cottonwick,10,2,40
2019-06-27,NF17,,ft,transect 2,9:50,9:57,7,7,cottonwick,14,3,40
2019-06-27,NF17,,ft,transect 2,9:50,9:57,7,7,bluestriped grunt,15,2,60
2019-06-27,NF17,,ft,transect 1,9:50,9:57,7,7,cottonwick,19,4,80
2019-06-27,NF17,,ft,transect 1,9:50,9:57,7,7,french grunt,16,5,80
2019-06-27,NF17,,ft,transect 1,9:50,9:57,7,7,french grunt,17,5,80
2019-06-27,NF17,,ft,transect 3,9:43,9:50,7,7,french grunt,18,5,80
2019-06-27,NF17,,ft,transect 3,9:43,9:50,7,7,bluestriped grunt,17,5,100
2019-06-27,NF17,,ft,transect 3,9:43,9:50,7,7,cottonwick,17,1,40
2019-06-27,NF17,,ft,patch rove 2,9:58,10:18,20,NA,white grunt,9,2,70
2019-06-27,NF17,,ft,patch rove 2,9:58,10:18,20,NA,white grunt,12,4,70
2019-06-27,NF17,,ft,patch rove 2,9:58,10:18,20,NA,white grunt,15,2,70
2019-06-27,NF17,,ft,patch rove 2,9:58,10:18,20,NA,white grunt,14,5,70
2019-06-27,NF17,,ft,patch rove 1,9:58,10:18,20,NA,cottonwick,25,1,70
2019-06-28,71,,ft,transect 1,11:09,11:17,8,8,french grunt,10,400,100
2019-06-28,71,,ft,transect 1,11:09,11:17,8,8,white grunt,12,10,100
2019-06-28,71,,ft,transect 1,11:09,11:17,8,8,cottonwick,10,1,100
2019-06-28,71,,ft,transect 1,11:09,11:17,8,8,french grunt,9,40,100
2019-06-28,71,,ft,transect 2,11:08,11:17,9,9,french grunt,10,500,
2019-06-28,71,,ft,transect 2,11:08,11:17,9,9,french grunt,11,500,
2019-06-28,71,,ft,transect 2,11:08,11:17,9,9,french grunt,12,500,
2019-06-28,71,,ft,transect 2,11:08,11:17,9,9,french grunt,13,500,
2019-06-28,71,,ft,transect 3,11:08,11:17,9,9,french grunt,9,500,
2019-06-28,71,,ft,transect 3,11:08,11:17,9,9,french grunt,10,500,
2019-06-28,71,,ft,transect 3,11:08,11:17,9,9,french grunt,11,500,
2019-06-28,71,,ft,transect 3,11:08,11:17,9,9,french grunt,12,500,
2019-06-28,71,,ft,transect 3,11:08,11:17,9,9,cottonwick,14,10,
2019-06-28,71,,ft,transect 3,11:08,11:17,9,9,bluestriped grunt,13,50,
2019-06-28,71,,ft,transect 3,11:08,11:17,9,9,bluestriped grunt,12,50,
2019-06-28,71,,ft,patch rove 1,11:26,11:46,20,NA,cottonwick,30,2,100
2019-06-28,71,,ft,patch rove 1,11:26,11:46,20,NA,french grunt,10,800,85
2019-06-28,71,,ft,patch rove 1,11:26,11:46,20,NA,french grunt,9,50,85
2019-06-28,71,,ft,patch rove 1,11:26,11:46,20,NA,white grunt,12,40,100
2019-06-28,71,,ft,seagrass rove 1,11:46,12:01,15,NA,french grunt,10,20,50
2019-06-28,71,,ft,seagrass rove 1,11:46,12:01,15,NA,french grunt,9,40,85
2019-06-28,71,,ft,seagrass rove 1,11:46,12:01,15,NA,french grunt,10,100,85
2019-06-28,Check1,,dd,transect 1,10:15,10:20,5,4.5,french grunt,3,120,0%
2019-06-28,Check1,,dd,transect 1,10:15,10:20,5,4.5,french grunt,10,300,0%
2019-06-28,Check1,,dd,transect 1,10:15,10:20,5,4.5,french grunt,9,20,0%
2019-06-28,Check1,,dd,transect 1,10:15,10:20,5,4.5,french grunt,11,50,0%
2019-06-28,Check1,,dd,transect 1,10:15,10:20,5,4.5,french grunt,12,70,0%
2019-06-28,Check1,,dd,transect 1,10:15,10:20,5,4.5,french grunt,13,60,0%
2019-06-28,Check1,,dd,transect 1,10:15,10:20,5,4.5,french grunt,14,50,0%
2019-06-28,Check1,,dd,transect 1,10:15,10:20,5,4.5,cottonwick,13,40,0%
2019-06-28,Check1,,dd,transect 1,10:15,10:20,5,4.5,cottonwick,14,30,0%
2019-06-28,Check1,,dd,transect 1,10:15,10:20,5,4.5,cottonwick,16,5,0%
2019-06-28,Check1,,dd,transect 2,10:15,10:20,5,4.5,french grunt,4,100,0%
2019-06-28,Check1,,dd,transect 2,10:15,10:20,5,4.5,french grunt,10,200,0%
2019-06-28,Check1,,dd,transect 2,10:15,10:20,5,4.5,french grunt,9,80,0%
2019-06-28,Check1,,dd,transect 2,10:15,10:20,5,4.5,french grunt,11,50,0%
2019-06-28,Check1,,dd,transect 2,10:15,10:20,5,4.5,french grunt,12,30,0%
2019-06-28,Check1,,dd,transect 2,10:15,10:20,5,4.5,french grunt,13,40,0%
2019-06-28,Check1,,dd,transect 2,10:15,10:20,5,4.5,french grunt,14,50,0%
2019-06-28,Check1,,dd,transect 2,10:15,10:20,5,4.5,cottonwick,15,5,0%
2019-06-28,Check1,,dd,patch rove 1,10:20,10:35,15,NA,white grunt,20,1,100%
2019-06-28,Check1,,dd,patch rove 1,10:20,10:35,15,NA,cottonwick,18,15,100%
2019-06-28,Check1,,dd,patch rove 2,10:20,10:35,15,NA,white grunt,16,1,100%
